,molregno_F,assay_F,value_F,molregno_H,assay_H,value_H
1,65,33574,7.64,64.0,33574,9.16
2,67,33574,7.4,64.0,33574,9.16
3,123,50467,110.0,108.0,50467,500.0
4,128,50467,40.0,109.0,50467,500.0
5,214,206322,1.6,226.0,206322,1.0
9,214,48697,4.1,226.0,48697,100.0
13,214,35530,3.0,226.0,35530,3.4
164,643,95394,74.0,429.0,95394,15.0
167,1110,305698,3.0,1159.0,305698,2.4
312,1110,305668,9.3,1159.0,305668,32.0
455,1133,149542,294.0,1200.0,149542,546.0
458,1133,149397,1001.0,1200.0,149397,445.0
462,1287,37362,5.4,1140.0,37362,13.0
469,1287,544113,5.27,1140.0,544113,4.89
476,1287,909386,5.27,1140.0,909386,4.89
477,2397,197463,23.0,1140.0,197463,33.0
486,2397,37362,7.3,1140.0,37362,13.0
493,2397,544113,5.14,1140.0,544113,4.89
500,2397,909386,5.14,1140.0,909386,4.89
507,1477,129920,1.5,1698.0,129920,1.6
514,1795,75719,3.2,124496.0,75719,31.0
518,1795,75718,12.8,124496.0,75718,500.0
522,1795,54376,600.0,124496.0,54376,250.0
1194,2273,90532,10.8,2291.0,90532,1.7
1197,2301,90532,7.64,2291.0,90532,1.7
1201,99796,224216,0.43,2291.0,224216,1.72
1204,2406,223295,28.0,2375.0,223295,57.0
1212,2639,147931,0.864,2749.0,147931,3.12
1241,2639,96270,12.2,2749.0,96270,23.5
1270,2639,86308,7.88,2749.0,86308,13.1
1299,2639,85979,3.57,2749.0,85979,14.7
1324,2844,147931,8.55,2749.0,147931,3.12
1353,2844,96270,15.7,2749.0,96270,23.5
1382,2844,86308,16.1,2749.0,86308,13.1
1411,2844,85979,3.3,2749.0,85979,14.7
1440,2844,149253,21.7,2749.0,149253,29.6
1681,2745,82506,9.0,3058.0,82506,9.0
1684,2745,178772,10.0,3058.0,178772,12.0
1688,2977,178772,13.0,3058.0,178772,12.0
1689,2977,82506,44.0,3058.0,82506,9.0
1691,2980,82506,0.16,3058.0,82506,9.0
1694,2980,178772,16.0,3058.0,178772,12.0
1698,2981,178772,44.0,3058.0,178772,12.0
1699,2981,82506,55.0,3058.0,82506,9.0
1704,2982,178772,20.0,3058.0,178772,12.0
1705,2982,82506,100.0,3058.0,82506,9.0
1710,2983,178772,5.0,3058.0,178772,12.0
1711,2983,82506,44.0,3058.0,82506,9.0
1716,2984,178772,2.0,3058.0,178772,12.0
1717,2984,82506,80.0,3058.0,82506,9.0
1724,3027,178772,9.0,3058.0,178772,12.0
1725,3027,82506,40.0,3058.0,82506,9.0
1727,2774,162259,1.0,3036.0,162259,10.0
1730,2774,162122,1.0,3036.0,162122,10.0
1731,2782,66568,0.7,2753.0,66568,0.3
1747,2782,226209,50.0,2753.0,226209,50.0
1763,2782,216999,50.0,2753.0,216999,16.0
1779,2782,152963,32.0,2753.0,152963,80.0
1795,2782,152945,500.0,2753.0,152945,500.0
1811,2782,5002,2.2,2753.0,5002,4.5
1851,2955,152774,18.0,2874.0,152774,14.0
1853,2998,66568,100.0,3032.0,66568,100.0
1857,2998,152963,500.0,3032.0,152963,500.0
1861,2998,152945,500.0,3032.0,152945,500.0
1862,3105,82506,5.0,2939.0,82506,6.0
1865,3284,37962,2.8,3380.0,37962,10.5
1866,3379,37962,7.8,3271.0,37962,32.0
1867,3645,139556,35.8,4001.0,139556,2.7
1868,3734,65930,0.221,3641.0,65930,0.282
1871,3734,65924,30.0,3641.0,65924,30.0
2226,4029,139556,3.4,4030.0,139556,5.4
2227,4107,43653,50.0,4115.0,43653,35.0
2230,4107,43650,2.4,4115.0,43650,2.7
2231,4108,43653,29.0,4116.0,43653,40.0
2236,4108,43650,2.0,4116.0,43650,5.0
2239,4365,30505,2.0,4210.0,30505,9.8
2240,4401,51176,1.8,4356.0,51176,1.0
2249,4788,217519,0.049,4986.0,217519,0.165
2258,4788,206508,0.23,4986.0,206508,0.67
2265,4943,217519,0.078,4986.0,217519,0.165
2274,4943,206508,0.32,4986.0,206508,0.67
2297,5178,48248,26.0,5444.0,48248,152.0
2298,5291,48248,915.0,5292.0,48248,1083.0
2311,6678,139726,32.0,6871.0,139726,15.0
2321,6818,139726,21.0,6871.0,139726,15.0
2331,6910,139726,98.0,6871.0,139726,15.0
2342,6910,496612,4.57,6871.0,496612,10.0
2343,6910,496612,4.57,6871.0,496612,10.0
2344,6910,496612,4.57,6871.0,496612,10.0
2351,6805,222791,2.35,6967.0,222791,1.85
2352,7067,222791,4.9,6967.0,222791,1.85
2353,7212,40166,1.7,7081.0,40166,3.5
2356,7212,40165,2.8,7081.0,40165,14.7
2359,7328,40166,7.0,7081.0,40166,3.5
2362,7328,40165,62.5,7081.0,40165,14.7
2363,7309,40166,50.0,7113.0,40166,62.5
2366,7526,31628,1e-06,128667.0,31628,1e-05
2370,127226,31628,0.0001,128667.0,31628,1e-05
2371,7546,31334,1.4e-08,99589.0,31334,2.2e-08
2382,98814,31334,2.3e-08,99589.0,31334,2.2e-08
2383,98847,31334,2.1e-08,99589.0,31334,2.2e-08
2385,99480,31334,2.3e-08,99589.0,31334,2.2e-08
2387,99482,31334,2e-08,99589.0,31334,2.2e-08
2388,8036,70118,3.0,8053.0,70118,2.9
2389,8054,70118,1.5,7871.0,70118,6.0
2390,8057,70118,6.3,7871.0,70118,6.0
2391,8091,70118,7.6,7871.0,70118,6.0
2392,8095,70118,4.9,8056.0,70118,0.7
2398,8127,28965,3.5,100299.0,28965,3.0
2413,8148,28965,12.5,100299.0,28965,3.0
2428,8424,28965,4.0,100299.0,28965,3.0
2629,8427,206517,490.0,5028.0,206517,2.0
3086,8444,159609,0.38,8465.0,159609,1.9
3090,8444,43530,165.0,8465.0,43530,100.0
3094,8444,104138,900.0,8465.0,104138,500.0
3095,8470,159609,0.77,8533.0,159609,5.7
3100,8470,43530,59.0,8533.0,43530,72.0
3105,8470,104138,440.0,8533.0,104138,176.0
3110,8470,43715,32.0,8533.0,43715,83.0
3111,8541,5739,1.25,8611.0,5739,2.3
3117,8541,199788,0.5,8611.0,199788,1.34
3123,8541,199074,1.39,8611.0,199074,1.42
3129,8541,216923,0.36,8611.0,216923,1.33
3135,8541,75803,0.18,8611.0,75803,0.74
3136,8564,159609,4.4,8375.0,159609,44.0
3140,8564,43530,2130.0,8375.0,43530,4370.0
3144,8564,104138,2880.0,8375.0,104138,2750.0
3145,8576,5739,0.66,8658.0,5739,1.28
3156,8576,199788,0.17,8658.0,199788,0.8600000000000001
3167,8576,199074,0.13,8658.0,199074,0.52
3178,8576,216923,0.4900000000000001,8658.0,216923,0.96
3189,8576,75803,0.07,8658.0,75803,0.1
3200,8576,911274,0.31,8658.0,911274,0.1
3211,8576,911273,1.54,8658.0,911273,0.96
3222,8576,911276,1.22,8658.0,911276,0.52
3233,8576,911275,1.86,8658.0,911275,0.86
3244,8576,911277,1.27,8658.0,911277,1.28
3308,8810,28496,0.01,193974.0,28496,0.023
3316,194092,28496,0.016,193974.0,28496,0.023
3317,8806,43720,95.0,8617.0,43720,100.0
3319,8896,66164,9.0,8941.0,66164,100.0
3325,8950,144449,5.2,8839.0,144449,2.5
3328,8950,36915,4.5,8839.0,36915,4.3
3329,8984,144449,5.9,8839.0,144449,2.5
3332,8984,36915,6.9,8839.0,36915,4.3
3333,9138,201563,22.0,9190.0,201563,15.0
3336,9138,61740,1000.0,9190.0,61740,436.0
3337,9507,80668,300.0,166344.0,80668,0.19
3338,9507,80668,0.043,166344.0,80668,0.19
3352,10464,106341,52.0,10451.0,106341,5000.0
3355,10464,106342,217.0,10451.0,106342,10000.0
3360,10707,34803,72.0,10720.0,34803,33.0
3363,10707,35283,230000.0,10720.0,35283,260000.0
3384,10813,158542,3.0,81899.0,158542,88.0
3417,10813,725152,7.83,81899.0,725152,7.06
3460,10827,159467,124.0,11006.0,159467,37.0
3461,10940,36471,710.0,10845.0,36471,16.0
3478,11453,49558,42.0,114615.0,49558,24.6
3485,11453,49425,100.0,114615.0,49425,100.0
3492,11453,75463,100.0,114615.0,75463,94.0
3499,11453,37958,0.024,114615.0,37958,0.065
3527,11509,1648485,26.0,11694.0,1648485,64.7
3530,11643,38119,-1.602,11681.0,38119,-2.544
3538,11643,38127,-1.602,11681.0,38127,-2.544
3544,249005,38119,-1.322,11681.0,38119,-2.544
3552,249005,38127,-1.322,11681.0,38127,-2.544
3558,249132,38119,-0.869,11681.0,38119,-2.544
3566,249132,38127,-0.869,11681.0,38127,-2.544
3572,249488,38119,-1.279,11681.0,38119,-2.544
3580,249488,38127,-1.279,11681.0,38127,-2.544
5042,11781,218522,67.0,11875.0,218522,200.0
5047,12003,218522,160.0,11875.0,218522,200.0
5048,11800,158140,4.2,11947.0,158140,2.0
5049,12117,158259,,11982.0,158259,
5050,12228,158258,,11817.0,158258,
5051,13048,214238,0.08,12879.0,214238,0.05
5059,13048,158522,0.002,12879.0,158522,0.017
5067,13048,70631,2.9,12879.0,70631,0.88
5075,13048,63770,20.0,12879.0,63770,20.0
5083,13048,214239,0.05,12879.0,214239,0.5
5091,13048,158523,0.01,12879.0,158523,1.0
5099,13048,154583,0.008,12879.0,154583,0.07
10545,13196,158934,100.0,209656.0,158934,100.0
10548,13196,159928,0.026,209656.0,159928,2.25
10585,13948,58535,23.0,14069.0,58535,66.0
10588,13948,2162,8.5,14069.0,2162,34.0
10589,13949,58535,110.0,14077.0,58535,168.0
10592,13949,2162,9.0,14077.0,2162,3.5
10615,14081,58535,455.0,14077.0,58535,168.0
10618,14081,2162,122.0,14077.0,2162,3.5
10939,14073,58535,427.0,13867.0,58535,969.0
10942,14073,2162,67.0,13867.0,2162,26.0
10943,14495,89699,55.0,14644.0,89699,210.0
10947,14495,140534,,14644.0,140534,198.0
10958,14597,89699,60.0,14579.0,89699,150.0
10968,14597,140534,455.0,14579.0,140534,83.0
10978,14597,92220,25.0,14579.0,92220,30.0
11939,14805,396272,0.01,358702.0,396272,0.022
11947,14805,396275,0.08,358702.0,396275,0.25
11950,14805,396273,0.012,358702.0,396273,0.018
11956,14805,396274,0.12,358702.0,396274,0.25
11963,14805,396276,0.08,358702.0,396276,0.28
15174,14904,157346,4.4,14990.0,157346,4.58
15177,14904,157347,4.68,14990.0,157347,4.77
15180,15115,157346,4.51,14990.0,157346,4.58
15183,15115,157347,4.56,14990.0,157347,4.77
15256,15156,145114,33.0,15169.0,145114,465.0
15259,15156,145114,33.0,15169.0,145114,470.0
15263,15156,145338,10000.0,15169.0,145338,10000.0
15266,15156,145338,10000.0,15169.0,145338,10000.0
15270,15156,148072,10000.0,15169.0,148072,10000.0
15273,15156,148072,10000.0,15169.0,148072,10000.0
15274,15401,145114,5.5,15168.0,145114,94.0
15278,15401,145338,460.0,15168.0,145338,10000.0
15283,15561,37036,13.0,15529.0,37036,230.0
15287,15561,37218,-7.89,15529.0,37218,-6.64
15291,15561,222291,13.0,15529.0,222291,230.0
15292,15571,37036,2.9,15584.0,37036,2.1
15296,15571,37218,-8.54,15584.0,37218,-8.68
15300,15571,222291,2.9,15584.0,222291,2.1
15301,15575,37036,3.4,15539.0,37036,9.8
15305,15575,37218,-8.47,15539.0,37218,-8.01
15309,15575,222291,3.4,15539.0,222291,9.8
15310,15750,37036,270.0,15784.0,37036,1700.0
15314,15750,37218,-6.57,15784.0,37218,-5.77
15318,15750,222291,270.0,15784.0,222291,1700.0
15320,16272,1901840,4.0,16252.0,1901840,2.0
15329,16308,159410,0.012,174001.0,159410,0.032
15334,16308,159281,0.011,174001.0,159281,0.01
15339,16308,159758,0.01,174001.0,159758,0.021
15364,16308,613375,500.0,174001.0,613375,110.0
16069,16362,737148,2.62,16491.0,737148,15.5
16079,16362,736962,80.0,16491.0,736962,80.0
16089,16362,737014,80.0,16491.0,737014,80.0
16099,16362,737022,80.0,16491.0,737022,80.0
16123,992807,737148,1.05,16491.0,737148,15.5
16133,992807,736962,80.0,16491.0,736962,80.0
16143,992807,737014,80.0,16491.0,737014,80.0
16153,992807,737022,80.0,16491.0,737022,80.0
16156,16406,177784,20.0,16455.0,177784,60.0
16157,16492,1975,300.0,16484.0,1975,233.0
16162,16492,1774,50.0,16484.0,1774,50.0
16167,16492,843,300.0,16484.0,843,400.0
16172,16492,177955,65.0,16484.0,177955,200.0
16173,16642,1975,200.0,16484.0,1975,233.0
16178,16642,1774,80.0,16484.0,1774,50.0
16183,16642,843,667.0,16484.0,843,400.0
16188,16642,177955,49.0,16484.0,177955,200.0
16189,1363858,1975,233.0,16484.0,1975,233.0
16194,1363858,1774,85.0,16484.0,1774,50.0
16199,1363858,843,367.0,16484.0,843,400.0
16204,1363858,177955,21.0,16484.0,177955,200.0
16217,16793,35092,17.0,16567.0,35092,8.0
16301,345778,950697,29.0,442.0,950697,770.0
16306,16860,143489,0.06,17015.0,143489,0.24
16307,17185,204899,6.82,17218.0,204899,6.0
16308,17245,204899,6.94,17339.0,204899,6.0
16309,17278,204899,7.46,17163.0,204899,6.25
16311,17499,76295,2.1,17584.0,76295,5.0
16314,17613,823246,0.9,1347210.0,823246,4.8
16317,17613,1283676,6.05,1347210.0,1283676,5.32
16320,1347212,823246,1.5,1347210.0,823246,4.8
16322,1347213,823246,7.3,1347210.0,823246,4.8
16348,18355,1339775,5.48,41655.0,1339775,5.15
16369,191698,1339775,3.6,41655.0,1339775,5.15
16370,18404,51673,100.0,18411.0,51673,100.0
16373,18404,51699,0.01,18411.0,51699,0.01
16374,18509,51673,100.0,18411.0,51673,100.0
16377,18509,51699,100.0,18411.0,51699,0.01
16378,18517,51673,100.0,18411.0,51673,100.0
16381,18517,51699,0.016,18411.0,51699,0.01
16382,18600,51673,100.0,18411.0,51673,100.0
16385,18600,51699,0.05,18411.0,51699,0.01
16388,18688,51673,70.0,18411.0,51673,100.0
16391,18688,51699,0.021,18411.0,51699,0.01
16394,18815,149253,5.9,230407.0,149253,93.8
16397,19222,207987,93.0,20062.0,207987,16.0
16398,19336,83774,8.0,19465.0,83774,42.0
16399,19386,207987,0.35,19343.0,207987,0.97
16400,19904,207987,0.63,19343.0,207987,0.97
16401,19591,212949,22.0,19590.0,212949,10.0
16402,19802,212949,8.2,19590.0,212949,10.0
16403,19724,141159,28.0,20024.0,141159,54.0
16405,19724,141159,28.0,20024.0,141159,31.0
16408,19724,176492,5.0,20024.0,176492,129.0
16410,19724,176492,5.0,20024.0,176492,9.0
16411,19724,141159,18.0,20024.0,141159,54.0
16413,19724,141159,18.0,20024.0,141159,31.0
16416,19724,176492,4.0,20024.0,176492,129.0
16418,19724,176492,4.0,20024.0,176492,9.0
16423,20036,141159,35.0,20116.0,141159,107.0
16426,20036,176492,11.0,20116.0,176492,108.0
16443,20358,123580,6.91,178593.0,123580,6.16
16445,20358,123580,6.91,178593.0,123580,6.25
16452,20358,124418,8.52,178593.0,124418,8.36
16454,20358,124418,8.52,178593.0,124418,5.48
16463,20358,123581,-6.91,178593.0,123581,-6.16
16472,20358,124419,-8.52,178593.0,124419,-8.36
16481,20358,417161,8.81,178593.0,417161,8.97
16490,20358,417162,8.52,178593.0,417162,8.36
16491,178251,123580,6.91,178593.0,123580,6.16
16493,178251,123580,6.91,178593.0,123580,6.25
16500,178251,124418,8.94,178593.0,124418,8.36
16502,178251,124418,8.94,178593.0,124418,5.48
16511,178251,123581,-6.91,178593.0,123581,-6.16
16520,178251,124419,-8.94,178593.0,124419,-8.36
16587,178568,123580,6.24,178593.0,123580,6.16
16589,178568,123580,6.24,178593.0,123580,6.25
16596,178568,124418,8.55,178593.0,124418,8.36
16598,178568,124418,8.55,178593.0,124418,5.48
16607,178568,123581,-6.24,178593.0,123581,-6.16
16616,178568,124419,-8.55,178593.0,124419,-8.36
16625,178568,417161,9.04,178593.0,417161,8.97
16634,178568,417162,8.55,178593.0,417162,8.36
16667,178605,123580,6.17,178593.0,123580,6.16
16669,178605,123580,6.17,178593.0,123580,6.25
16676,178605,124418,8.52,178593.0,124418,8.36
16678,178605,124418,8.52,178593.0,124418,5.48
16687,178605,123581,-6.17,178593.0,123581,-6.16
16696,178605,124419,-8.52,178593.0,124419,-8.36
16699,238869,123580,6.16,178593.0,123580,6.16
16701,238869,123580,6.16,178593.0,123580,6.25
16708,238869,124418,8.23,178593.0,124418,8.36
16710,238869,124418,8.23,178593.0,124418,5.48
16721,238869,417161,8.79,178593.0,417161,8.97
16730,238869,417162,8.23,178593.0,417162,8.36
16731,20455,159586,0.1,20456.0,159586,0.06
16734,20455,158575,1.36,20456.0,158575,1.42
16735,20457,212949,98.0,20107.0,212949,14.0
16736,20518,212949,14.0,20107.0,212949,14.0
16744,20664,158575,0.25,20453.0,158575,0.34
16762,21057,970878,50.0,1571142.0,970878,50.0
16767,21057,971015,50.0,1571142.0,971015,50.0
16772,21057,971017,50.0,1571142.0,971017,20.33
16773,21057,971016,36.42,1571142.0,971016,37.09
16777,21062,157778,7.0,20485.0,157778,31.0
16780,21062,3918,129.0,20485.0,3918,130.0
16781,21178,158002,0.38,20910.0,158002,0.16
16796,21730,158002,0.25,20910.0,158002,0.16
16802,21730,159924,12.8,20910.0,159924,1.2
16808,21730,158929,100.0,20910.0,158929,100.0
16811,21758,158002,0.55,20910.0,158002,0.16
16817,21758,159924,13.4,20910.0,159924,1.2
16823,21758,158929,100.0,20910.0,158929,100.0
16829,21758,158928,90.0,20910.0,158928,90.0
16831,21790,158002,0.2,20910.0,158002,0.16
16837,21790,159924,6.3,20910.0,159924,1.2
16843,21790,158929,300.0,20910.0,158929,100.0
16892,21218,830638,17.0,211307.0,830638,19.0
16908,21218,830639,10.0,211307.0,830639,13.0
16924,21218,830640,20.0,211307.0,830640,52.0
16943,21218,1589939,781.0,211307.0,1589939,1406.0
16959,21218,1589940,1102.0,211307.0,1589940,2200.0
16975,21218,1589941,100000.0,211307.0,1589941,2863.0
17073,21470,124639,830.0,21961.0,124639,290.0
17076,21608,198045,0.3,22390.0,198045,0.2
17081,21608,2165,6.0,22390.0,2165,0.7
17086,21608,216962,75.0,22390.0,216962,11.0
17091,21608,58560,13.0,22390.0,58560,30.0
17104,21671,36944,1.2,137970.0,36944,4.1
17109,21671,911177,1.2,137970.0,911177,4.1
17720,21704,159926,0.48,21697.0,159926,0.53
18026,21704,158932,15.3,21697.0,158932,18.8
18386,21704,159755,0.9,21697.0,159755,0.5
18392,21704,159755,0.9,21697.0,159755,0.5
18692,21704,158743,13.0,21697.0,158743,19.0
18698,21704,158743,13.0,21697.0,158743,19.0
18998,21704,159756,0.03,21697.0,159756,0.02
19304,21704,158744,50.0,21697.0,158744,15.0
20826,76475,159755,1.8,21697.0,159755,0.5
20832,76475,159755,1.8,21697.0,159755,0.5
21132,76475,158743,86.0,21697.0,158743,19.0
21138,76475,158743,86.0,21697.0,158743,19.0
21438,76475,159756,0.02,21697.0,159756,0.02
21744,76475,158744,50.0,21697.0,158744,15.0
22656,76658,159755,0.6,21697.0,159755,0.5
22662,76658,159755,0.6,21697.0,159755,0.5
22962,76658,158743,10.0,21697.0,158743,19.0
22968,76658,158743,10.0,21697.0,158743,19.0
23268,76658,159756,0.01,21697.0,159756,0.02
23574,76658,158744,4.7,21697.0,158744,15.0
24102,76658,970865,9.2,21697.0,970865,0.5
24408,76658,970878,,21697.0,970878,200.0
24714,76658,971015,,21697.0,971015,200.0
25020,76658,971017,50.0,21697.0,971017,50.0
25321,76658,971016,50.0,21697.0,971016,50.0
25357,21903,124639,663.0,21941.0,124639,947.0
25360,21926,86426,1.0,53458.0,86426,0.32
25364,21934,124639,42.0,21521.0,124639,44.0
25366,22052,123928,20.0,21769.0,123928,100.0
25367,22090,123928,100.0,21803.0,123928,500.0
25368,22362,78000,0.18,23101.0,78000,0.9
25369,22363,78000,0.4,22154.0,78000,0.4
25370,22658,78000,0.16,22154.0,78000,0.4
25372,22574,28587,0.25,22575.0,28587,0.49
25373,22584,78000,0.45,22398.0,78000,1.6
25374,23186,78000,0.92,22398.0,78000,1.6
25375,23228,78000,1.8,22398.0,78000,1.6
25376,22616,78000,17.0,21715.0,78000,3.4
25382,22773,84999,0.7,22848.0,84999,0.04
25398,22773,84999,250.0,22848.0,84999,0.04
25408,22773,87795,250.0,22848.0,87795,2.0
25409,23272,177042,2.1,23904.0,177042,3.4
25410,23794,177042,1.5,23904.0,177042,3.4
25411,23837,177042,3.9,23904.0,177042,3.4
25412,23891,177042,7.5,23904.0,177042,3.4
25413,23892,177042,2.1,23904.0,177042,3.4
25414,23895,177042,2.4,23904.0,177042,3.4
25420,23323,140478,38.0,189315.0,140478,35.0
25426,23323,140482,0.0082,189315.0,140482,0.0053
25432,23323,140485,100.0,189315.0,140485,100.0
25438,23323,33982,1.2,189315.0,33982,0.5
25444,23323,61430,1.7,189315.0,61430,2.6
25450,23419,140478,100.0,189315.0,140478,35.0
25456,23419,140482,0.0061,189315.0,140482,0.0053
25462,23419,140485,100.0,189315.0,140485,100.0
25468,23419,33982,0.7,189315.0,33982,0.5
25474,23419,61430,3.9,189315.0,61430,2.6
25504,23341,61430,41.0,189800.0,61430,86.0
25511,23465,75905,25.0,24100.0,75905,4.3
25517,24104,31759,5e-09,24364.0,31759,1.9e-08
25520,24144,31759,1e-08,24364.0,31759,1.9e-08
25523,24183,31759,6.8e-08,24364.0,31759,1.9e-08
25526,24204,31759,2e-09,24364.0,31759,1.9e-08
25529,24349,31759,3e-08,24364.0,31759,1.9e-08
25532,24377,31759,6.9e-09,24364.0,31759,1.9e-08
25535,24396,31759,6.3e-09,24364.0,31759,1.9e-08
25537,24189,31759,3.2e-07,24140.0,31759,3.2e-07
25538,24244,48641,6.0,24808.0,48641,4.0
25539,24263,31759,5e-09,24229.0,31759,7.1e-09
25540,24315,31759,1.1e-07,24229.0,31759,7.1e-09
25541,24310,31759,6.2e-09,24205.0,31759,1e-09
25542,24320,90007,1.8,25107.0,90007,2.0
25543,25063,90007,2.0,25107.0,90007,2.0
25544,24358,56498,4.0,23671.0,56498,0.7
25546,24484,90007,4.4,24523.0,90007,2.3
25547,24484,90007,4.4,24523.0,90007,2.3
25548,24588,90007,20.0,24437.0,90007,2.2
25549,24700,90007,1.3,24437.0,90007,2.2
25550,24809,48641,15.0,24810.0,48641,8.0
25551,24819,37966,20.0,24582.0,37966,57.0
25559,24858,48641,3.0,25082.0,48641,11.0
25560,24917,48641,1.0,24918.0,48641,1.0
25579,24985,62019,4.39,25114.0,62019,30.8
25583,24985,201656,68.6,25114.0,201656,156.0
25587,24985,142957,18.8,25114.0,142957,84.5
25591,24995,92673,14.0,25081.0,92673,10.0
25598,24995,50133,0.11,25081.0,50133,0.23
25605,24995,149594,0.51,25081.0,149594,0.8100000000000002
25611,25003,62158,17.2,224876.0,62158,15.2
25616,25003,201667,1920.0,224876.0,201667,743.0
25667,224759,62158,14.0,224876.0,62158,15.2
25672,224759,201667,1260.0,224876.0,201667,743.0
25695,25303,3807,0.02,141397.0,3807,0.03
25710,25426,48641,4.0,25460.0,48641,8.0
25711,25453,1800430,4.53,25357.0,1800430,3.91
25716,25453,1800429,43.83,25357.0,1800429,35.07
25721,25453,1800431,45.92,25357.0,1800431,14.53
25726,25453,1800432,4.44,25357.0,1800432,4.14
25729,25496,49693,0.8,25739.0,49693,0.1
25747,25551,49693,0.5,25739.0,49693,0.1
25759,25657,49693,0.2,25739.0,49693,0.1
25777,25725,49693,0.3,25739.0,49693,0.1
25793,25613,48641,2.0,25695.0,48641,5.0
25804,25765,500129,1.222,166817.0,500129,1.0
25805,25765,500129,1.222,166817.0,500129,0.1
25807,25765,500129,0.06,166817.0,500129,1.0
25808,25765,500129,0.06,166817.0,500129,0.1
25815,26498,89027,,26352.0,89027,
25816,26869,89027,,26352.0,89027,
25817,26516,144153,8.9,26643.0,144153,1.4
25820,26516,1284012,8.9,26643.0,1284012,1.4
25821,26539,144153,3.6,26691.0,144153,4.0
25824,26539,1284012,3.6,26691.0,1284012,4.0
25825,26626,144153,2.5,26691.0,144153,4.0
25828,26626,1284012,2.5,26691.0,1284012,4.0
25829,26713,36933,0.52,26746.0,36933,2.7
25830,27429,154847,4.9,27325.0,154847,1.9
25833,27429,201888,1.8,27325.0,201888,2.0
25834,27748,28797,38.0,27749.0,28797,50.0
25835,27787,28797,50.0,27749.0,28797,50.0
25837,28029,28797,50.0,27775.0,28797,9.4
25838,28450,50174,62.0,28449.0,50174,16.0
25841,28450,47835,10000.0,28449.0,47835,10000.0
25842,28741,77277,12.0,28715.0,77277,37.0
25847,28741,83246,70.0,28715.0,83246,152.0
25852,28741,79581,37.0,28715.0,79581,58.0
25857,28741,92882,70.0,28715.0,92882,170.0
25866,28776,77277,100.0,28789.0,77277,100.0
25877,28776,83246,100.0,28789.0,83246,100.0
25888,28776,79581,100.0,28789.0,79581,100.0
25899,28776,92882,100.0,28789.0,92882,100.0
25910,28776,43766,100.0,28789.0,43766,14.0
25921,28776,43586,100.0,28789.0,43586,100.0
25926,28791,77277,100.0,28803.0,77277,100.0
25934,28791,83246,100.0,28803.0,83246,100.0
25942,28791,79581,100.0,28803.0,79581,32.0
25950,28791,92882,100.0,28803.0,92882,100.0
25958,28791,43766,100.0,28803.0,43766,33.0
25966,28791,43586,100.0,28803.0,43586,100.0
25968,28801,77277,100.0,28810.0,77277,100.0
25975,28801,83246,100.0,28810.0,83246,100.0
25982,28801,79581,100.0,28810.0,79581,100.0
25989,28801,92882,100.0,28810.0,92882,100.0
25996,28801,43766,100.0,28810.0,43766,100.0
26003,28801,43586,100.0,28810.0,43586,100.0
26004,28818,70432,180.0,29102.0,70432,230.0
26009,28818,71952,4400.0,29102.0,71952,3700.0
26012,28825,77277,100.0,28826.0,77277,100.0
26022,28825,79581,100.0,28826.0,79581,100.0
26032,28825,43766,12.0,28826.0,43766,3.5
26042,28825,43586,100.0,28826.0,43586,100.0
26048,28886,91745,2.6,29328.0,91745,1.9
26051,29235,53340,27.0,29258.0,53340,94.0
26056,29235,160555,410.0,29258.0,160555,4100.0
26057,29250,61853,15.3,29635.0,61853,48.3
26121,29425,53340,73.0,29397.0,53340,320.0
26133,29425,160555,1900.0,29397.0,160555,19000.0
26174,29437,91745,0.82,29722.0,91745,2.4
26175,29518,43841,0.014,29480.0,43841,0.011
26180,29518,43840,0.21,29480.0,43840,0.19
26185,29518,158596,1.7,29480.0,158596,3.1
26190,29518,158595,3.2,29480.0,158595,4.1
26191,30671,43841,0.019,29480.0,43841,0.011
26196,30671,43840,0.08,29480.0,43840,0.19
26201,30671,158596,0.5,29480.0,158596,3.1
26206,30671,158595,3.7,29480.0,158595,4.1
26207,30750,43841,0.015,29480.0,43841,0.011
26212,30750,43840,0.62,29480.0,43840,0.19
26217,30750,158596,11.0,29480.0,158596,3.1
26222,30750,158595,61.0,29480.0,158595,4.1
26227,30751,43841,0.014,29480.0,43841,0.011
26232,30751,43840,0.34,29480.0,43840,0.19
26237,30751,158596,6.6,29480.0,158596,3.1
26239,29633,220929,4.6,29670.0,220929,400.0
26240,29660,91745,0.27,29299.0,91745,0.32
26241,29665,192728,350.0,29591.0,192728,125.0
26247,29671,61853,70.8,29672.0,61853,114.0
26248,30018,34789,4.7,29857.0,34789,13.0
26249,30020,34789,36.0,29525.0,34789,27.0
26250,30301,70268,15.0,30337.0,70268,12.0
26254,30301,70146,600.0,30337.0,70146,1600.0
26258,30301,71822,1340.0,30337.0,71822,1390.0
26259,30340,52980,0.044,29794.0,52980,0.068
26266,30340,55115,0.02,29794.0,55115,0.16
26273,30340,53465,0.022,29794.0,53465,0.015
26280,30340,207930,0.02,29794.0,207930,0.05
26287,30340,55100,0.66,29794.0,55100,0.86
26294,30340,54089,2.7,29794.0,54089,300.0
26295,30374,34799,0.023,30964.0,34799,0.3
26298,30374,34789,11.0,30964.0,34789,13.0
26299,30613,43841,0.017,30387.0,43841,0.011
